tesda_inst_id,name,region,old_region,province,old_province,city_municipality,old_city_municipality,district,municipality_class,type_of_institution,classification,institution_classification,address,latitude,longitude,coord_status,psgc_observed_region,psgc_observed_province,psgc_observed_municity,psgc_observed_barangay
TESDA00043,Datu Daud Learning Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"Brgy. Lomidong, Marawi City, Lanao del Sur",8.0026084,124.2580375,valid,19,19036,1903617,1903617060
TESDA00044,Esab Training and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Both,"S&R Bldg., Paggao Saduc, Marawi City. Lanao del Sur",8.00998,124.288084,valid,19,19036,1903617,1903617090
TESDA00045,"Everly Sisters Multi Skills and Learning Center, Incorporated",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Lone,Component,Private,TVI,Provider Only,"Brgy. Tuca, Marawi City, Lanao Del Sur",8.0114664,123.7495708,valid,,,,
TESDA00046,FM Sur La Table Training Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"2nd Flr., Melanie's Bldg., Dimalna MSU, Marawi City, Lanao del Sur",7.995151,124.25543,valid,19,19036,1903617,1903617107
TESDA00047,"Faminanash Integrated Laboratory School, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"Brgy. Saduc Proper, Marawi City, Lanao del Sur",8.0038495,124.2883549,valid,19,19036,1903617,1903617111
TESDA00048,"H. Hassan Institute of Technology, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"Brgy. Dopao, Malimono, Marawi City, Lanao del Sur",8.010945596,124.2970247,valid,19,19036,1903617,1903617058
TESDA00049,Hi Skills Institute and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Both,"7th Street, Dimalna, MSU Campus, Marawi City, Lanao del Sur",7.99374,124.25498,valid,19,19036,1903617,1903617107
TESDA00050,Hi Skills Institute and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Lone,Component,Private,TVI,Provider Only,"Brgy. Fort, Bangon, Marawi City",8.00043,124.28272,valid,19,19036,1903617,1903617009
TESDA00051,"Hope Healthcare Institute, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"142 Osmeña St., Marawi City, Lanao del Sur",8.003571,124.289857,valid,19,19036,1903617,1903617111
TESDA00052,"Hope Healthcare Training Institute, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Lone,Component,Private,TVI,Provider Only,"Brgy. Saduc, Marawi City, Lanao Del Sur",8.0137211,124.2888715,valid,19,19036,1903617,1903617126
TESDA00053,JAZ Institute of Technology Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Both,"Brgy. Amito-Marantao, Marawi City, Lanao del Sur",7.98487,124.27646,valid,19,19036,1903617,1903617037
TESDA00054,Magogop Training Center Service Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"0224 Officer's Line, Panggao Saduc, Marawi City, Lanao del Sur",8.01,124.18,valid,19,19036,1903621,1903621026
TESDA00055,Marawi Skills Training and Assessment Center Service Cooperative,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Lone,Component,Private,TVI,Provider Only,"Ampuan Street Lilod Madaya Pob., Marawi City, Lanao Del Sur",8.0063141,124.20826,valid,19,19036,1903621,1903621023
TESDA00056,"Mascom Computer Learning Centre Marawi City, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Lone,Component,Private,TVI,Provider Only,"Brgy. Lilod Saduc, Marawi City, Lanao Del Sur",8.01037,124.29015,valid,19,19036,1903617,1903617058
TESDA00057,Mindanao State University - Lanao National College of Arts and Trades,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Lone,Component,Private,TVI,Provider Only,"Brgy. Panggao Saduc, Marawi City, Lanao Del Sur",8.006147,124.2880886,valid,19,19036,1903617,1903617090
TESDA00058,One 5 Mantra Workforce Training Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Both,"Brgy. Biaba-Damag, Marawi City",7.996608,124.266132,valid,19,19036,1903617,1903617026
TESDA00059,Pastry Arts Integrated Skills Training and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"Buadi Sacayo (Green), Marawi City, Lanao del Sur",8.0024893,124.2811431,valid,19,19036,1903617,1903617141
TESDA00060,Provincial/City Manpower Development Center,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Lone,Component,Public,LGU,Both,"People's Park, Datu Saber, , Marawi City, Lanao del Sur",8.003222,124.2826571,valid,19,19036,1903617,1903617048
TESDA00061,"RLM Multi-Skills Training and Assessment Center, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"2nd Street, Cadayonan l, Marawi City, Lanao del Sur",7.991021,124.2632854,valid,19,19036,1903616,1903616071
TESDA00062,SGA Skills Institute and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Lone,Component,Private,TVI,Both,"Brgy. Rapasun, Marawi City, Lanao Del Sur",7.9913846,124.2652793,valid,19,19036,1903617,1903617026
TESDA00063,SMD Foundation Academy,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"Menor St., Pagarungan Village, Marawi City, Lanao del Sur",7.990745968,124.2656672,valid,19,19036,1903617,1903617026
TESDA00064,"School Sibling Skills Training and Assessment Center, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Lone,Component,Private,TVI,Both,"Brgy. Marawi Poblacion, Marawi City, Lanao Del Sur",8.0115383,124.258432,valid,19,19036,1903617,1903617023
TESDA00065,Sultan Solaiman Dalauk Lala Technical Institute Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"Boto Ambolong, Marawi City, Lanao del Sur",7.9974891,124.3081881,valid,19,19036,1903617,1903617046
TESDA00066,"Sunlight Training Skills and Assessment Center, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Lone,Component City,Private,TVI,Provider Only,"0219 Lopez Street Paling, Barangay Daguduban, Marawi City",8.00346,124.29775,valid,19,19036,1903617,1903617033
TESDA00067,Hadja Carema Lipayan Pangandaman Training and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Masiu,Masiu,1st,5th,Private,TVI,Provider Only,"Kalimudan Brgy. Pantao, Masiu, Lanao del Sur",7.808239,124.326424,valid,19,19036,1903618,1903618069
TESDA00068,Mulondo Institute of Technology Training and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Mulondo,Mulondo,1st,3rd,Private,TVI,Provider Only,"08 Cadidia Abo Bldg., Cabasaran St., Mulondo, Lanao del Sur",7.917185,124.35364,valid,19,19036,1903619,1903619011
TESDA00069,Macaumbao Skills Training Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Poona Bayabao,Poona Bayabao,2nd,4th,Private,TVI,Provider Only,"Brgy. Cadayonan, Poona bayabao, Lanao del Sur",7.849601,124.330979,valid,19,19036,1903622,1903622011
TESDA00070,"Ragasabasak Organic Agri Farm And Multi Skills Training And Assessment Center, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Poona Bayabao,Poona Bayabao,Lone,4th,Private,TVI,Both,"Bansayan Poona Bayabao, Lanao del Sur",7.8409891,124.3240955,valid,,,,
TESDA00071,"Dar-Assalam Institute and Assessment Center, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Saguiaran,Saguiaran,Lone,4th,Private,TVI,Provider Only,"Amai Pakpak Ave., Bliss, Bubong, Saguiaran, Lanao del Sur",8.0289537,124.2645967,valid,19,19036,1903625,1903625033
TESDA00072,"Tamparan Medical Foundation, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Tamparan,Tamparan,1st,5th,Private,NGO,Provider Only,"Poblacion, Tamparan, Lanao del Sur",7.87635,124.32817,valid,19,19036,1903626,1903626038
TESDA00073,ESAB TRAINING AND ASSESSMENT CENTER INC.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,,,,,,,Assessment Center Only,"Panggao Saduc, Marawi City, Lanao Del Sur",8.0099255,124.2880977,valid,19,19036,1903617,1903617090
TESDA00074,ESAB TRAINING AND ASSESSMENT CENTER INC.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,,,,,,,Both,"Brgy. Panggao Saduc, Marawi City, Lanao Del Sur",8.010075,124.288124,valid,19,19036,1903617,1903617090
